Date,Price,Open,High,Low,Vol.,Change ,Yesterday Price,Tomorrow Price,30 Day Average,7 Day Average
2023-08-09,1855.36,1856.24,1870.48,1846.76,203.58,-0.05,1856.24,1852.46,1876.1443333333334,1839.0985714285712
2023-08-10,1852.46,1855.36,1865.94,1847.34,134.21,-0.16,1855.36,1848.88,1875.282,1841.452857142857
2023-08-11,1848.88,1852.46,1857.17,1840.65,120.55,-0.19,1852.46,1849.94,1874.5159999999998,1844.1157142857144
2023-08-12,1849.94,1848.88,1853.54,1846.13,66.93,0.06,1848.88,1840.73,1869.355,1846.0385714285715
2023-08-13,1840.73,1849.94,1861.50,1835.51,126.51,-0.5,1849.94,1845.51,1866.111,1847.5314285714287
2023-08-14,1845.51,1840.73,1856.48,1835.90,158.11,0.26,1840.73,1828.98,1863.2473333333332,1849.8742857142856
2023-08-15,1828.98,1845.51,1847.35,1816.32,196.60,-0.9,1845.51,1807.81,1860.1316666666667,1845.98
2023-08-16,1807.81,1828.98,1831.52,1803.31,217.47,-1.16,1828.98,1683.89,1856.684,1839.1871428571428
2023-08-17,1683.89,1807.81,1809.81,1560.88,876.70,-6.85,1807.81,1661.26,1849.561,1815.1057142857142
2023-08-18,1661.26,1681.51,1698.77,1646.32,572.90,-1.34,1683.89,1669.67,1841.9813333333334,1788.3028571428572
2023-08-19,1669.67,1661.27,1693.88,1654.35,243.31,0.51,1661.26,1685.24,1834.596,1762.55
2023-08-20,1685.24,1669.68,1692.47,1662.82,205.82,0.93,1669.67,1667.60,1827.7123333333334,1740.3371428571427
2023-08-21,1667.60,1685.24,1686.11,1651.77,265.91,-1.05,1685.24,1634.29,1821.0906666666667,1714.9214285714286
2023-08-22,1634.29,1667.60,1669.22,1588.36,424.51,-2.0,1667.60,1679.93,1812.6053333333334,1687.1085714285712
2023-08-23,1679.93,1634.30,1697.63,1629.86,399.71,2.79,1634.29,1660.89,1806.9350000000002,1668.84
2023-08-24,1660.89,1679.93,1683.03,1642.45,246.62,-1.13,1679.93,1653.74,1800.3756666666668,1665.554285714286
2023-08-25,1653.74,1661.18,1676.13,1636.77,250.86,-0.43,1660.89,1647.05,1793.1003333333333,1664.48
2023-08-26,1647.05,1653.74,1655.58,1644.04,84.34,-0.4,1653.74,1658.33,1785.958,1661.2485714285715
2023-08-27,1658.33,1647.05,1660.11,1646.35,94.20,0.68,1647.05,1653.22,1778.7613333333331,1657.4042857142856
2023-08-28,1653.22,1658.34,1660.80,1628.79,229.39,-0.31,1658.33,1729.69,1771.1836666666666,1655.3500000000001
2023-08-29,1729.69,1653.22,1742.83,1640.29,528.63,4.63,1653.22,1705.22,1766.7796666666666,1668.9785714285713
2023-08-30,1705.22,1729.69,1730.71,1696.99,218.44,-1.41,1729.69,1645.82,1761.748,1672.5914285714287
2023-08-31,1645.82,1705.23,1723.95,1634.74,355.27,-3.48,1705.22,1629.00,1754.135,1670.4385714285713
2023-09-01,1629.00,1645.82,1654.39,1603.67,319.19,-1.02,1645.82,1637.05,1747.0946666666669,1666.9042857142856
2023-09-02,1637.05,1629.00,1644.63,1628.11,109.03,0.49,1629.00,1635.85,1740.4636666666665,1665.4757142857143
2023-09-03,1635.85,1637.05,1645.16,1625.61,124.14,-0.07,1637.05,1630.51,1733.9840000000002,1662.2642857142857
2023-09-04,1630.51,1635.86,1643.31,1618.49,178.25,-0.33,1635.85,1634.46,1727.118333333333,1659.02
2023-09-05,1634.46,1630.53,1647.67,1610.02,219.79,0.24,1630.51,1633.18,1720.591,1645.4157142857143
2023-09-06,1633.18,1634.46,1667.08,1610.49,240.73,-0.08,1634.46,1648.09,1714.06,1635.1242857142856
2023-09-07,1648.09,1633.18,1658.04,1624.07,243.55,0.91,1633.18,1636.45,1707.1216666666667,1635.4485714285713
