,Time,prices,MCap,Volume,Open,High,Low,Close
522,1662249600000,74.88873499262735,54473719.72075515,6244724.3477209145,,,,
523,1662336000000,75.5835334255202,54932699.21823861,3026829.7292487836,,,,
524,1662422400000,75.54259026374986,54919801.02130925,2690545.4142861553,,,,
525,1662508800000,72.76664305827357,53066200.43778762,6043901.668629658,74.89,75.58,72.77,72.77
526,1662595200000,73.76157967435059,53841401.00554119,4853023.056647232,,,,
527,1662681600000,74.88657905022394,54376825.9543022,5331251.4634420425,,,,
528,1662768000000,78.88915823149283,57357943.732171625,7957785.484303395,,,,
529,1662854400000,80.24392917290433,58422500.619274765,4694217.12638965,73.76,80.24,73.76,80.24
530,1662940800000,77.57108503496194,56339197.07521206,5022840.650879676,,,,
531,1663027200000,75.45113356295602,85024226.35715286,4327293.574948438,,,,
532,1663113600000,69.860278698021,79426996.02206203,4103953.3484178274,,,,
533,1663200000000,71.55247505396578,81706802.80490765,3837902.241520749,77.57,77.57,69.86,71.55
534,1663286400000,65.62842187206071,77617725.19003831,11324725.98358921,,,,
535,1663372800000,63.85012808295508,75709597.32915835,7039022.056173201,,,,
536,1663459200000,64.12532812961548,76130872.66840097,5972496.25812875,,,,
537,1663545600000,56.18557845431859,66936266.084710665,7520376.696828672,65.63,65.63,56.19,56.19
538,1663632000000,58.398842548675326,70078273.41618013,6441627.701021648,,,,
539,1663718400000,56.709968531381,68434238.9132077,5984519.241495641,,,,
540,1663804800000,53.96440224896948,65413963.55252867,5944586.846767632,,,,
541,1663891200000,56.74032327903397,69202684.84821026,6820019.55727545,58.4,58.4,53.96,56.74
542,1663977600000,56.34981393436882,68871593.7674615,4682408.464291353,,,,
543,1664064000000,57.16571289300599,70470024.82114306,12482395.270707425,,,,
544,1664150400000,55.99021477531905,69317567.89245053,4460453.645683796,,,,
545,1664236800000,58.3052156268594,71928609.35561238,4066373.5729656303,56.35,58.31,55.99,58.31
546,1664323200000,57.158454906898136,71774802.39503941,6227437.470949823,,,,
547,1664409600000,57.860458004866885,72686771.85026878,5022384.50721243,,,,
548,1664496000000,57.289669386151154,72256553.53897527,5339443.459915065,57.16,57.86,57.16,57.29
549,1664582400000,56.83058089127729,72215948.03698787,4076626.724854432,,,,
550,1664668800000,56.438562987210645,71734891.38238363,2472063.89820656,,,,
551,1664755200000,54.627868020754015,69309629.69009444,3079180.6567004733,56.83,56.83,54.63,54.63
552,1664841600000,56.28922410469664,72348741.35017495,3188357.0713182567,,,,
553,1664928000000,57.990657998417284,74464390.92600197,3229633.788603365,,,,
554,1665014400000,56.5634027332299,73107890.39222139,3204933.883359766,,,,
555,1665100800000,56.718283219693234,73388196.75879125,2765550.061813895,56.29,57.99,56.29,56.72
556,1665187200000,55.98578636431662,72526063.44300474,2147214.498824394,,,,
557,1665273600000,55.811574216861864,72385269.12490706,1908693.135694913,,,,
558,1665360000000,55.00861584013851,71950909.52350582,2392547.429466731,,,,
