"Date","Price","Open","High","Low","Vol.","Change %"
"08/19/2023","6.35","6.32","7.27","6.20","2.52M","0.16%"
"08/18/2023","6.34","6.62","6.63","5.84","1.69M","-4.23%"
"08/17/2023","6.62","6.53","7.13","6.12","2.58M","1.38%"
"08/16/2023","6.53","6.82","7.23","6.30","2.73M","-4.25%"
"08/15/2023","6.82","7.41","7.65","6.70","2.84M","-8.82%"
"08/14/2023","7.48","7.13","8.23","6.44","6.66M","4.03%"
"08/13/2023","7.19","7.94","9.22","6.96","10.50M","-9.33%"
"08/12/2023","7.93","6.16","7.93","5.90","5.55M","27.90%"
"08/11/2023","6.20","4.68","6.57","4.64","6.89M","32.48%"
"08/10/2023","4.68","4.70","4.96","4.54","1.00M","-0.43%"
"08/09/2023","4.70","4.88","5.10","4.63","1.24M","-4.86%"
"08/08/2023","4.94","5.82","6.03","4.78","3.47M","-16.13%"
"08/07/2023","5.89","4.10","6.76","4.09","11.58M","43.31%"
"08/06/2023","4.11","3.95","4.14","3.95","173.54K","4.05%"
"08/05/2023","3.95","3.90","3.97","3.83","81.97K","1.54%"
"08/04/2023","3.89","3.93","3.96","3.87","80.58K","-1.02%"
"08/03/2023","3.93","3.97","4.00","3.87","95.24K","-0.76%"
"08/02/2023","3.96","4.10","4.15","3.88","96.42K","-3.41%"
"08/01/2023","4.10","4.02","4.10","3.87","93.55K","1.99%"
"07/31/2023","4.02","4.05","4.13","3.99","75.26K","-0.74%"
"07/30/2023","4.05","4.21","4.24","3.94","118.54K","-3.80%"
"07/29/2023","4.21","4.18","4.24","4.06","108.79K","0.72%"
"07/28/2023","4.18","4.20","4.24","4.15","73.30K","-0.71%"
"07/27/2023","4.21","4.13","4.26","4.08","127.84K","2.18%"
"07/26/2023","4.12","4.02","4.16","3.92","144.41K","2.74%"
"07/25/2023","4.01","4.01","4.06","3.93","130.54K","0.25%"
"07/24/2023","4.00","4.17","4.19","3.98","235.85K","-4.08%"
"07/23/2023","4.17","4.04","4.23","4.00","166.79K","3.47%"
"07/22/2023","4.03","4.06","4.12","4.00","104.59K","-0.74%"
"07/21/2023","4.06","4.03","4.10","3.99","100.18K","0.74%"
"07/20/2023","4.03","4.00","4.11","3.95","263.61K","0.75%"
"07/19/2023","4.00","4.16","4.23","3.96","438.64K","-3.85%"
"07/18/2023","4.16","4.46","4.46","4.14","145.74K","-6.73%"
"07/17/2023","4.46","4.44","4.53","4.33","88.62K","0.45%"
"07/16/2023","4.44","4.65","4.65","4.42","101.39K","-4.31%"
"07/15/2023","4.64","4.67","4.73","4.59","80.04K","-0.64%"
"07/14/2023","4.67","4.80","4.89","4.49","183.48K","-2.71%"
"07/13/2023","4.80","4.31","4.84","4.25","191.70K","11.37%"
"07/12/2023","4.31","4.35","4.41","4.24","81.20K","-0.92%"
"07/11/2023","4.35","4.36","4.38","4.28","72.47K","-0.23%"
"07/10/2023","4.36","4.27","4.41","4.15","146.01K","2.11%"
"07/09/2023","4.27","4.34","4.38","4.27","43.55K","-1.61%"
"07/08/2023","4.34","4.44","4.47","4.27","115.60K","-2.03%"
"07/07/2023","4.43","4.42","4.48","4.37","70.21K","0.23%"
"07/06/2023","4.42","4.59","4.79","4.41","169.15K","-3.91%"
"07/05/2023","4.60","4.68","4.82","4.54","207.00K","-1.71%"
"07/04/2023","4.68","4.81","4.82","4.63","165.16K","-2.70%"
"07/03/2023","4.81","4.76","5.03","4.76","380.07K","1.26%"
"07/02/2023","4.75","4.74","4.77","4.57","248.68K","0.21%"
"07/01/2023","4.74","4.81","4.88","4.57","442.21K","-1.46%"
"06/30/2023","4.81","4.15","5.02","4.05","2.39M","15.90%"
"06/29/2023","4.15","4.16","4.23","4.12","152.40K","-0.24%"
"06/28/2023","4.16","4.47","4.47","4.06","277.74K","-6.94%"
"06/27/2023","4.47","4.30","4.49","4.27","308.59K","3.95%"
"06/26/2023","4.30","4.43","4.48","4.23","182.13K","-2.71%"
"06/25/2023","4.42","4.31","4.51","4.28","180.26K","2.55%"
"06/24/2023","4.31","4.30","4.35","4.15","195.15K","0.47%"
"06/23/2023","4.29","4.36","4.40","4.14","514.35K","-1.61%"
"06/22/2023","4.36","4.38","4.51","4.30","243.05K","-0.23%"
