Adj Close,upper_shadow,lower_shadow,open2close,high2low,high2mean,low2mean,high2median,low2median,Price,Market_cap,Supply,BlockSize,BlockDifficulty,Hash_count,Growth Value
567.889,1.0,1.001483,1.083679,1.085286,1.040529,0.9587601,1.0401592,0.95841944,567.25,56115.59081004688,98925677.9375,25206,3098.361,256511.2913,814318
615.718,1.0048676,1.0137538,1.0840316,1.1042901,1.0474689,0.948545,1.0453854,0.94665825,617.16,61065.5295218775,98946026.1875,26386,3070.112,250405.9833,832220
605.395,1.0095519,1.0464005,0.9827777,1.074908,1.0271343,0.9555556,1.0183208,0.9473562,605.17,59891.59661383906,98966565.78125,21672,3168.246,259913.5162,746104
621.86,1.030404,1.0206275,1.0259701,1.0789703,1.0407913,0.9646153,1.0436124,0.9672299,621.33,61503.60453468656,98987019.03125,23074,3146.736,256619.2584,748858
642.548,1.0064619,1.000264,1.0343674,1.0413263,1.021852,0.9812987,1.0234644,0.98284703,644.13,63773.69785499531,99007495.15625,24241,3181.241,260832.2833,802870
708.158,1.0010124,1.0,1.100653,1.1017674,1.048698,0.95183235,1.0489761,0.95208484,703.35,69651.25054018594,99027867.40625,25599,3132.081,255641.5849,816357
615.416,1.0,1.0253311,0.8703848,1.1780205,1.0754809,0.912956,1.0692987,0.90770805,617.73,61185.201817589055,99048454.53125,25145,3129.306,257805.5643,799014
662.809,1.0005612,1.0232977,1.0723695,1.097969,1.0410694,0.9481774,1.035502,0.9431067,661.45,65529.35867840938,99069254.9375,24705,3213.181,267393.1962,793873
647.032,1.0343734,1.0,0.97722876,1.0584762,1.0372697,0.9799651,1.0462861,0.98848325,643.33,63747.32835072969,99089624.84375,24120,3152.285,257910.9333,764479
683.678,1.0113562,1.0,1.060548,1.0725918,1.0380406,0.96778727,1.0410744,0.9706156,683.02,67694.03901013813,99109892.84375,24555,3128.856,254255.7956,775321
688.881,1.0128832,1.0199832,1.0072656,1.0406301,1.0182272,0.9784719,1.0165495,0.9768596,689.31,68331.73014940781,99130623.59375,24654,3190.83,265643.9588,756651
669.924,1.0067822,1.0057153,0.9712408,1.0425181,1.0211433,0.979497,1.0214704,0.9798108,670.04,66435.2509099825,99151171.4375,25891,3196.316,264176.9608,778133
673.613,1.0011728,1.0516407,1.0046982,1.0578208,1.0156599,0.9601437,1.0035192,0.9486666,670.81,66525.3161101878,99171622.53125,24618,3113.973,256434.1957,713839
687.149,1.0024638,1.0099713,1.0193955,1.0320967,1.0139401,0.982408,1.012092,0.9806174,686.74,68119.45191315874,99192491.9375,25626,3111.333,261978.5703,787722
779.543,1.0061549,1.0,1.1353819,1.1423701,1.0681967,0.9350706,1.0699445,0.93660057,777.62,77150.09298475561,99213102.78125,26338,3164.594,263056.9143,839586
785.624,1.023067,1.018545,1.011392,1.0539106,1.0275528,0.97499055,1.0288613,0.97623205,784.21,77820.05622552217,99233695.34375,27766,3202.794,266084.0108,1000526
816.12,1.013889,1.0004412,1.0401958,1.0551083,1.0303278,0.9765138,1.0338645,0.97986573,816.58,81049.1666281625,99254410.625,24103,3242.196,270333.0862,789261
792.311,1.0232438,1.0358591,0.9708646,1.0917448,1.0411083,0.9536187,1.0383705,0.951111,790.39,78465.9948889503,99275034.96875,22388,3271.982,270847.4157,691273
753.725,1.0030491,1.0613184,0.95006675,1.120505,1.0425916,0.93046576,1.0287331,0.91809773,752.4,74710.1266498125,99295755.78125,23088,3327.78,276583.217,789863
752.857,1.0254833,1.0339609,0.9971497,1.0633404,1.028819,0.9675349,1.0269468,0.9657742,747.79,74267.61200743905,99316134.21875,23859,3343.569,273677.2789,820098
752.275,1.0088019,1.0470486,0.99916726,1.0571449,1.0184159,0.96336454,1.0092221,0.95466775,751.27,74628.65356771905,99336661.34375,24510,3268.429,270175.0286,831127
727.277,1.0188273,1.0008435,0.9663796,1.0551616,1.0315223,0.9775964,1.0362468,0.98207396,723.61,71895.81057801875,99357126.875,26750,3279.764,270049.063,854827
679.586,1.0137054,1.0145725,0.93476456,1.100253,1.0478094,0.95233494,1.047885,0.95240366,677.8,67358.26481230625,99377788.15625,25118,3285.212,273083.2403,826099
686.048,1.0078173,1.0556015,1.0090766,1.0735096,1.0237811,0.95367664,1.0123703,0.94304734,683.64,67952.72155645124,99398399.09375,23752,3367.082,278875.4553,788487
733.496,1.0106559,1.0175562,1.0674078,1.0977213,1.0450943,0.95205796,1.0436083,0.9507043,729.34,72510.13961458436,99418843.90625,23520,3397.01,278287.478,762439
730.549,1.0128793,1.0499532,0.9970194,1.0666549,1.0232438,0.9593016,1.014391,0.95100194,727.41,72333.09474968625,99439236.125,25932,3322.169,273117.6599,801788
708.871,1.0108173,1.0112355,0.96953803,1.0542899,1.0264394,0.9735835,1.0264511,0.9735947,705.64,70182.81433046,99459801.5,24792,3262.634,269469.4111,779210
707.05,1.0029842,1.0359085,0.9985355,1.0405235,1.0117248,0.9723229,1.0037191,0.96462893,706.72,70304.672717195,99480236.46875,24743,3286.345,269830.24,807257
672.657,1.0142722,1.005716,0.94911796,1.0747555,1.0383852,0.9661594,1.04075,0.96835977,668.38,66504.404022725,99500888.75,24608,3280.926,272613.0226,835761
694.367,1.0009563,1.012493,1.0331274,1.0470346,1.0201133,0.9742881,1.0172657,0.97156835,693.57,69025.18343267344,99521581.71875,24643,3236.627,270655.4582,831831
696.53,1.027347,1.0120575,1.0020976,1.0419152,1.0244602,0.98324716,1.0284233,0.9870509,696.05,69286.41171580469,99542291.09375,24459,3250.212,272017.1413,846288
715.369,1.0117198,1.007585,1.0249971,1.0448756,1.0230758,0.9791364,1.0242087,0.9802207,715.15,71202.44291030469,99562948.90625,23759,3307.965,275816.8568,777283
699.222,1.0029072,1.0097156,0.97494256,1.0386776,1.017299,0.97941756,1.0156318,0.97781235,696.73,69382.92190770313,99583657.8125,25580,3341.722,278244.772,802211
647.741,1.0011398,1.0057684,0.9251091,1.0884281,1.0412129,0.9566207,1.0400863,0.9555856,640.84,63830.34623582,99604185.5,25326,3323.281,275055.3865,822409
583.585,1.0076793,1.0185583,0.90244645,1.1373308,1.0617965,0.9335864,1.0593511,0.9314362,577.01,57484.66434543438,99625074.6875,25965,3252.173,274364.416,833377
601.755,1.0150609,1.0490483,1.0294576,1.0962157,1.0377847,0.9466974,1.0297946,0.9394086,602.59,60045.337837099054,99645426.96875,25467,3223.61,264380.7978,811167
586.734,1.0249875,1.0193008,0.9744146,1.0722033,1.0365539,0.9667513,1.0382698,0.9683516,584.77,58281.73020262438,99666074.1875,24930,3202.992,266471.1125,800838
587.28,1.0319171,1.0064574,0.99975145,1.0388389,1.0255063,0.98716587,1.0320454,0.9934605,585.76,58392.530943635,99686784.59375,23053,3253.128,270868.0697,761932
572.668,1.0030721,1.0174145,0.97306466,1.0487895,1.0202775,0.9728144,1.0167656,0.96946573,569.64,56797.21355569125,99707207.28125,23497,3215.114,264353.7928,776024
516.036,1.0052422,1.0067974,0.90051574,1.1238841,1.0580957,0.9414635,1.0578625,0.941256,512.03,51063.666300394376,99727879.8125,25414,3232.392,269029.2955,861002
565.388,1.0121615,1.0,1.095399,1.1087207,1.0548898,0.9514477,1.058243,0.9544722,566.59,56516.51915234562,99748529.1875,25332,3218.953,268134.3091,812183
559.59,1.028767,1.0259593,0.9872272,1.0691288,1.0343935,0.9675107,1.0353793,0.9684327,557.12,55583.42163103,99769208.84375,25508,3177.264,265948.756,817167
577.645,1.0136641,1.0025688,1.034285,1.0511107,1.027825,0.97784656,1.0307479,0.98062736,577.23,57601.75451607469,99789952.90625,27436,3249.295,272316.521,832842
580.043,1.0156022,1.01939,1.0023693,1.0377477,1.0176634,0.98064625,1.016804,0.9798181,579.01,57791.28618158562,99810514.8125,25130,3151.675,261144.0211,758242
591.808,1.0089033,1.0053817,1.0196044,1.0342183,1.0177583,0.9840845,1.0186968,0.98499197,590.53,58953.33304089313,99831224.5625,24617,3194.129,268099.8023,768017
618.329,1.0100012,1.0,1.0457836,1.0562427,1.0299717,0.9751278,1.0326046,0.9776205,619.04,61812.203235475,99851711.09375,25077,3202.593,266067.2667,809997
592.985,1.0064446,1.0158253,0.95729667,1.0679781,1.0306324,0.9650314,1.0284027,0.9629436,591.31,59055.61782400719,99872516.65625,26427,3159.147,267430.541,807165
609.303,1.0033268,1.0213845,1.0267894,1.0522357,1.0210015,0.97031635,1.0165884,0.9661223,608.23,60757.8331733975,99892858.25,25848,3232.845,266560.0064,780654
